Date, Time, Temperature, Humidity, Signal for fan
[dd/mm/yy],[hh:mm:ss],[°C],[%], [-]
02/05/17, 13:56:29, 55, 18, 1
02/05/17, 13:57:00, 55, 18, 1
02/05/17, 13:57:35, 55, 18, 1
02/05/17, 13:58:12, 55, 18, 1
02/05/17, 13:58:42, 55, 18, 1
02/05/17, 13:59:14, 55, 18, 1
02/05/17, 13:59:44, 55, 17, 1
02/05/17, 14:00:15, 55, 18, 1
02/05/17, 14:00:47, 55, 17, 1
02/05/17, 14:01:17, 55, 18, 1
02/05/17, 14:01:47, 55, 18, 1
02/05/17, 14:02:18, 55, 18, 1
02/05/17, 14:02:50, 55, 18, 1
02/05/17, 14:03:24, 55, 18, 1
02/05/17, 14:03:55, 55, 18, 1
02/05/17, 14:04:26, 55, 18, 1
02/05/17, 14:04:58, 55, 18, 1
02/05/17, 14:05:28, 55, 18, 1
02/05/17, 14:05:59, 55, 18, 1
02/05/17, 14:06:30, 55, 18, 1
02/05/17, 14:07:02, 55, 18, 1
02/05/17, 14:07:40, 55, 18, 1
02/05/17, 14:08:11, 55, 18, 1
02/05/17, 14:08:42, 55, 18, 1
02/05/17, 14:09:14, 55, 18, 1
02/05/17, 14:09:44, 55, 18, 1
02/05/17, 14:10:15, 55, 18, 1
02/05/17, 14:10:45, 55, 18, 1
02/05/17, 14:11:15, 55, 18, 1
02/05/17, 14:11:45, 55, 18, 1
02/05/17, 14:12:18, 55, 18, 1
02/05/17, 14:12:48, 55, 18, 1
02/05/17, 14:13:19, 55, 18, 1
02/05/17, 14:13:50, 55, 18, 1
02/05/17, 14:14:28, 55, 18, 1
02/05/17, 14:15:01, 55, 18, 1
02/05/17, 14:15:31, 55, 18, 1
02/05/17, 14:16:03, 55, 18, 1
02/05/17, 14:16:35, 55, 18, 1
02/05/17, 14:17:08, 55, 18, 1
02/05/17, 14:17:53, 55, 18, 1
02/05/17, 14:18:24, 55, 18, 1
02/05/17, 14:18:56, 55, 18, 1
02/05/17, 14:19:26, 55, 18, 1
02/05/17, 14:19:56, 55, 18, 1
02/05/17, 14:20:27, 55, 18, 1
02/05/17, 14:21:05, 55, 18, 1
02/05/17, 14:21:40, 55, 18, 1
02/05/17, 14:22:12, 55, 18, 1
02/05/17, 14:22:48, 55, 18, 1
02/05/17, 14:23:22, 55, 18, 1
02/05/17, 14:23:54, 55, 18, 1
02/05/17, 14:24:24, 55, 18, 1
02/05/17, 14:24:54, 55, 18, 1
02/05/17, 14:25:26, 55, 18, 1
02/05/17, 14:25:58, 55, 18, 1
02/05/17, 14:26:29, 55, 18, 1
02/05/17, 14:27:00, 55, 17, 1
02/05/17, 14:27:30, 55, 18, 1
02/05/17, 14:28:01, 55, 18, 1
02/05/17, 14:28:31, 55, 17, 1
02/05/17, 14:29:01, 55, 18, 1
02/05/17, 14:29:33, 55, 18, 1
02/05/17, 14:30:05, 55, 18, 1
02/05/17, 14:30:38, 55, 18, 1
02/05/17, 14:31:08, 55, 18, 1
02/05/17, 14:31:39, 55, 18, 1
02/05/17, 14:32:10, 55, 18, 1
02/05/17, 14:32:41, 55, 18, 1
02/05/17, 14:33:12, 55, 18, 1
02/05/17, 14:33:42, 55, 18, 1
02/05/17, 14:34:18, 55, 18, 1
02/05/17, 14:34:48, 55, 18, 1
02/05/17, 14:35:18, 55, 18, 1
02/05/17, 14:35:51, 55, 18, 1
02/05/17, 14:36:21, 55, 18, 1
02/05/17, 14:36:53, 55, 18, 1
02/05/17, 14:37:23, 55, 18, 1
02/05/17, 14:38:02, 55, 18, 1
02/05/17, 14:38:33, 55, 18, 1
02/05/17, 14:39:04, 55, 18, 1
02/05/17, 14:39:44, 55, 18, 1
02/05/17, 14:40:14, 55, 17, 1
02/05/17, 14:40:46, 55, 18, 1
02/05/17, 14:41:18, 55, 18, 1
02/05/17, 14:41:49, 55, 18, 1
02/05/17, 14:42:20, 55, 18, 1
02/05/17, 14:42:50, 55, 18, 1
02/05/17, 14:43:20, 55, 18, 1
02/05/17, 14:43:51, 55, 18, 1
02/05/17, 14:44:22, 55, 18, 1
02/05/17, 14:44:53, 55, 18, 1
02/05/17, 14:45:25, 55, 17, 1
02/05/17, 14:45:56, 55, 18, 1
02/05/17, 14:46:27, 55, 18, 1
02/05/17, 14:46:59, 55, 18, 1
02/05/17, 14:47:31, 55, 18, 1
02/05/17, 14:48:02, 55, 18, 1
02/05/17, 14:48:33, 55, 18, 1
02/05/17, 14:49:04, 55, 18, 1
02/05/17, 14:49:35, 55, 18, 1
02/05/17, 14:50:06, 55, 18, 1
02/05/17, 14:50:36, 55, 18, 1
02/05/17, 14:51:08, 55, 18, 1
02/05/17, 14:51:46, 55, 18, 1
02/05/17, 14:52:22, 55, 18, 1
02/05/17, 14:52:54, 55, 18, 1
02/05/17, 14:53:25, 55, 18, 1
02/05/17, 14:53:58, 55, 18, 1
02/05/17, 14:54:29, 55, 18, 1
